Night,Time_Asleep,Restful,Refreshed,Aggregate,Refresh+Relax,Normalized
2019-03-13,5.5,3,2,10.5,5,2.3541666666666665
2019-03-14,6.5,2,1,9.5,3,1.8125
2019-03-15,5.0,2,1,8.0,3,1.625
2019-03-16,5.0,2,2,9.0,4,1.9583333333333333
2019-03-16,5.5,2,1,8.5,3,1.6875
2019-03-18,7.5,2,2,11.5,4,2.270833333333333
2019-03-19,7.5,2,2,11.5,4,2.270833333333333
2019-03-20,7.5,2,2,11.5,4,2.270833333333333
2019-03-21,6.5,2,2,10.5,4,2.145833333333333
2019-03-22,8.5,2,3,13.5,5,2.6666666666666665
2019-03-23,5.0,1,1,7.0,2,1.2916666666666665
2019-03-24,6.5,2,1,9.5,3,1.8125
2019-03-25,7.5,1,1,9.5,2,1.6041666666666665
2019-03-26,5.5,2,1,8.5,3,1.6875
2019-03-27,6.5,1,1,8.5,2,1.4791666666666665
2019-03-31,7.5,1,1,9.5,2,1.6041666666666665
2019-04-01,6.5,1,2,9.5,3,1.8125
2019-04-02,6.5,3,3,12.5,6,2.8125
2019-04-03,5.5,1,1,7.5,2,1.3541666666666665
2019-04-04,6.5,2,3,11.5,5,2.4791666666666665
2019-04-05,6.5,1,2,9.5,3,1.8125
2019-04-06,6.5,1,2,9.5,3,1.8125
2019-04-07,4.5,1,1,6.5,2,1.2291666666666665
2019-04-09,-1.0,-1,-1,-3.0,-2,-0.7916666666666666
